"year","period","periodName","hours","output","productivity"
"2012","Q01","1st Quarter",99.493,99.322,99.828
"2012","Q02","2nd Quarter",99.726,99.964,100.239
"2012","Q03","3rd Quarter",100.125,100.262,100.137
"2012","Q04","4th Quarter",100.652,100.452,99.801
"2013","Q01","1st Quarter",101.06,101.398,100.335
"2013","Q02","2nd Quarter",101.46,101.461,100.001
"2013","Q03","3rd Quarter",102.051,102.522,100.462
"2013","Q04","4th Quarter",102.401,103.578,101.149
"2014","Q01","1st Quarter",102.896,103.021,100.121
"2014","Q02","2nd Quarter",103.63,104.734,101.066
"2014","Q03","3rd Quarter",104.343,106.374,101.946
"2014","Q04","4th Quarter",105.546,106.991,101.369
"2015","Q01","1st Quarter",105.681,108.037,102.229
"2015","Q02","2nd Quarter",106.166,108.833,102.512
"2015","Q03","3rd Quarter",106.547,109.185,102.476
"2015","Q04","4th Quarter",107.077,109.283,102.061
"2016","Q01","1st Quarter",107.437,110.009,102.394
"2016","Q02","2nd Quarter",107.854,110.343,102.308
"2016","Q03","3rd Quarter",108.18,111.111,102.71
"2016","Q04","4th Quarter",108.31,111.872,103.289
"2017","Q01","1st Quarter",108.754,112.411,103.362
"2017","Q02","2nd Quarter",109.642,113.179,103.226
"2017","Q03","3rd Quarter",109.766,114.245,104.081
"2017","Q04","4th Quarter",110.528,115.551,104.544
"2018","Q01","1st Quarter",111.148,116.578,104.885
"2018","Q02","2nd Quarter",111.812,117.69,105.257
"2018","Q03","3rd Quarter",112.066,118.341,105.599
"2018","Q04","4th Quarter",112.326,118.652,105.632
"2019","Q01","1st Quarter",112.315,119.647,106.529
"2019","Q02","2nd Quarter",112.283,120.701,107.497
"2019","Q03","3rd Quarter",112.807,121.642,107.832
"2019","Q04","4th Quarter",112.926,122.181,108.196
"2020","Q01","1st Quarter",111.479,119.869,107.526
"2020","Q02","2nd Quarter",96.977,106.855,110.186
"2020","Q03","3rd Quarter",104.763,117.177,111.849
"2020","Q04","4th Quarter",107.093,118.941,111.064
"2021","Q01","1st Quarter",108.691,121.374,111.669
"2021","Q02","2nd Quarter",110.044,123.869,112.563
"2021","Q03","3rd Quarter",111.703,124.483,111.441
"2021","Q04","4th Quarter",112.392,127.191,113.167
