"year","period","periodName","hours","output","productivity"
2012,"Q01","1st Quarter",99.318,99.322,100.004
2012,"Q02","2nd Quarter",99.49,99.964,100.476
2012,"Q03","3rd Quarter",100.009,100.262,100.253
2012,"Q04","4th Quarter",100.586,100.452,99.867
2013,"Q01","1st Quarter",101.02,101.398,100.374
2013,"Q02","2nd Quarter",101.435,101.461,100.026
2013,"Q03","3rd Quarter",101.964,102.522,100.547
2013,"Q04","4th Quarter",102.239,103.578,101.31
2014,"Q01","1st Quarter",102.753,103.021,100.261
2014,"Q02","2nd Quarter",103.568,104.734,101.126
2014,"Q03","3rd Quarter",104.337,106.374,101.952
2014,"Q04","4th Quarter",105.505,106.991,101.409
2015,"Q01","1st Quarter",105.802,108.037,102.113
2015,"Q02","2nd Quarter",106.209,108.833,102.471
2015,"Q03","3rd Quarter",106.224,109.185,102.788
2015,"Q04","4th Quarter",106.909,109.283,102.22
2016,"Q01","1st Quarter",107.324,110.009,102.502
2016,"Q02","2nd Quarter",107.648,110.343,102.504
2016,"Q03","3rd Quarter",107.918,111.111,102.959
2016,"Q04","4th Quarter",108.014,111.872,103.571
2017,"Q01","1st Quarter",108.406,112.346,103.634
2017,"Q02","2nd Quarter",109.17,113.032,103.538
2017,"Q03","3rd Quarter",109.279,114.268,104.566
2017,"Q04","4th Quarter",110.147,115.686,105.029
2018,"Q01","1st Quarter",110.676,116.596,105.349
2018,"Q02","2nd Quarter",111.186,117.487,105.667
2018,"Q03","3rd Quarter",111.739,118.521,106.07
2018,"Q04","4th Quarter",112.027,118.746,105.998
2019,"Q01","1st Quarter",111.992,119.638,106.828
2019,"Q02","2nd Quarter",112.161,120.484,107.42
2019,"Q03","3rd Quarter",112.698,121.767,108.047
2019,"Q04","4th Quarter",112.463,122.297,108.744
2020,"Q01","1st Quarter",110.91,120.194,108.371
2020,"Q02","2nd Quarter",95.565,107.928,112.937
2020,"Q03","3rd Quarter",103.432,118.873,114.928
2020,"Q04","4th Quarter",105.817,120.423,113.803
2021,"Q01","1st Quarter",107.186,122.893,114.654
2021,"Q02","2nd Quarter",108.768,125.542,115.422
2021,"Q03","3rd Quarter",110.177,126.385,114.711
2021,"Q04","4th Quarter",111.386,129.169,115.966
